file,author,title,volume,source_xml,chars,words
CLTK__Abbofloracensis__Abbofloracensis.txt,Abbofloracensis,Abbofloracensis,,abbofloracensis.txt,34623,4643
CLTK__Abelard__Dialogus.txt,Abelard,Dialogus,,abelard/dialogus.txt,194099,27689
CLTK__Abelard__Epistola.txt,Abelard,Epistola,,abelard/epistola.txt,15664,2277
CLTK__Abelard__Historia.txt,Abelard,Historia,,abelard/historia.txt,85616,11871
CLTK__Addison__Barometri.txt,Addison,Barometri,,addison/barometri.txt,3195,421
CLTK__Addison__Burnett.txt,Addison,Burnett,,addison/burnett.txt,1915,249
CLTK__Addison__Hannes.txt,Addison,Hannes,,addison/hannes.txt,1584,204
CLTK__Addison__Machinae.txt,Addison,Machinae,,addison/machinae.txt,4264,552
CLTK__Addison__Pax.txt,Addison,Pax,,addison/pax.txt,8973,1159
CLTK__Addison__Praelium.txt,Addison,Praelium,,addison/praelium.txt,7786,1022
CLTK__Addison__Preface.txt,Addison,Preface,,addison/preface.txt,3286,435
CLTK__Addison__Resurr.txt,Addison,Resurr,,addison/resurr.txt,5515,737
CLTK__Addison__Sphaer.txt,Addison,Sphaer,,addison/sphaer.txt,3286,436
CLTK__Adso__Adso.txt,Adso,Adso,,adso.txt,13678,1965
CLTK__Aelredus__Aelredus.txt,Aelredus,Aelredus,,aelredus.txt,118789,16927
CLTK__Agnes__Agnes.txt,Agnes,Agnes,,agnes.txt,75369,10398
CLTK__Alanus__Alanus1.txt,Alanus,Alanus1,,alanus/alanus1.txt,137897,16972
CLTK__Alanus__Alanus2.txt,Alanus,Alanus2,,alanus/alanus2.txt,200697,27923
CLTK__Albertanus__Albertanus_Arsloquendi.txt,Albertanus,Albertanus Arsloquendi,,albertanus/albertanus.arsloquendi.txt,41083,5687
CLTK__Albertanus__Albertanus_Liberconsol.txt,Albertanus,Albertanus Liberconsol,,albertanus/albertanus.liberconsol.txt,137073,19423
CLTK__Albertanus__Albertanus_Sermo.txt,Albertanus,Albertanus Sermo,,albertanus/albertanus.sermo.txt,17995,2492
CLTK__Albertanus__Albertanus_Sermo1.txt,Albertanus,Albertanus Sermo1,,albertanus/albertanus.sermo1.txt,19849,2846
CLTK__Albertanus__Albertanus_Sermo2.txt,Albertanus,Albertanus Sermo2,,albertanus/albertanus.sermo2.txt,22318,3176
CLTK__Albertanus__Albertanus_Sermo3.txt,Albertanus,Albertanus Sermo3,,albertanus/albertanus.sermo3.txt,23906,3369
CLTK__Albertanus__Albertanus_Sermo4.txt,Albertanus,Albertanus Sermo4,,albertanus/albertanus.sermo4.txt,11229,1622
CLTK__Albertanus__Albertanus1.txt,Albertanus,Albertanus1,,albertanus/albertanus1.txt,36504,5161
CLTK__Albertanus__Albertanus2.txt,Albertanus,Albertanus2,,albertanus/albertanus2.txt,108281,15316
