manuscript,bekker,text
Munich_106a,102a19-30,"1והסגלה היא מה שלא תורה על מהות הדבר, והיא נמצאת לכל הדבר לבדו, ומתהפכת עליו בנשיאות. 2המשל בזה, קבול החכמה לאדם. 3 כאשר נמצא האדם נמצא מקבל החכמה , וכאשר נמצא מקבל החכמה נמצא האדם וזה שהמפורסם מענין הסגולה, שהוא אי אפשר שתמצא לזולת בעל הסגולה. 4ואם היה , לא ימנע שיקרא-סגלה , מה שימצא יותר כולל מן הדבר, כאשר נמצא לו לבדו בקצת הזמנים. 5כי השינה, אמנם יהיה סגלה לו לאדם מה, כאשר לא ימצא בזה העת, או בזה המקום, ישן, זולת זה האדם. 6וכבר יקרא סגלה , מה שימצא בקצת המין, אבל הוא לא ימצא בזולתו. 7כמו תכלתיות העין באדם. 8אלא שהסגולה היא אשר גדרנו, ואלה אם נאמר להם סגלה , הנה הוא בשתוף השם או באיחור."
Munich_106a,102a31-102b3,"1והסוג הוא הנשוא על רבים מתחלפים במין , מדרך מה הוא. 2ובזה המין מן הדרישה, ר""ל, אם כך סוג לכך, יכנס מה שיאמר בו, אם כך וכך, תחת סוג אחד, אם בסוגים מתחלפים. 3וזה שאם תהיה דרישתנו על דרך משל, אם האדם והשור, תחת סוג אחד. 4ויתבאר לנו שהאדם חי, והשור גם כן חי במקומות הסוג. 5הנה כבר התבאר לנו שהם תחת סוג אחד. 6ואם יתבאר שהוא סוג לאחד מהם, ובלתי סוג לאחר, יתבאר שהם אינם תחת סוג אחד בעינו."
Munich_106a,102a4-26,"1ואולם המקרה, הנה הוא ירשם בכאן בשני רשמים. 2אחר שהיה , אין באחד מהם, ספוק ברשמו המקיף בו. 3אחד מהם הוא שהמקרה הוא מה שלא ימצא אחד מאלו השלשה. 4ר""ל, לא גדר ולא סגלה ולא סוג , והוא נמצא בדבר. 5והרושם השני, הוא אשר אפשר שימצא לדבר אחד בעצמו, ושלא ימצא. 6וזה, שהרושם הראשון, הוא יכלול המקרים הנפרדים ובלתי נפרדים, וזה הרושם הוכן טבעו מצד ההעדר ר""ל מצד שהוא העדר הענינים אשר נאמרו בגדרי אותם השלשה . 7ולזה היתה הודעה חסרה. 8ואולם השני, הנה בו יובן עצמותו, אלא שהוא אמנם יכלול הנפרד לבד. 9ושאלות היותר ראוי והיותר נאות, הם נכנסות בשער המקרה. 10וזה, שהפחות והיתר, אמנם ימצאו למקרה. 11וכבר יחשב שכבר תהיה הקשה בעצם. 12כמו מה שחקר ארסטו בספר המאמרות, אם אישי העצם, יותר בשער העצם, או מיניהם. 13וכמו חקירתו, אם החמר יותר ראוי שיקרא עצם, או הצורה. 14ולפי זה יהיו דרושי ההקשה נכנסים בכל המאמרות. 15ואולם דרוש אם הנשוא נמצא לנושא לבד, הנה ארסטו יבאר שהוא נכנס בשער המקרה. 16ואמנם שם אותו נכנס בשער המקרה, עם שהנשוא כאשר הונח שהוא נמצא לנושא , לא יתבאר ממנו שהוא מקרה ולא שהוא סוג ולא גדר ולא סגלה . 17מפני שהוא כאשר התבאר שהדבר נמצא לדבר, הנה לפחות מה שאפשר שיצדק עליו שהוא מקרה, אם לא יהיה מהשלושה הנשארים. 18ושם כחו כח המקרה, כענין בסתמי, אשר הושם כחו, כח החלקי . 19וגם כן הנה, הגדר והסוג והסגלה , יתן כל אחד מהם בנושא, תוספת ידיעה, והמקרה לא ימצא ממנו תוספת ידיעה אמנם אשר יבוקש ממנו שהוא נמצא לבד ולזה בדרושי המציאות ואולם דרוש אם הדבר נמצא בשלוח , הנה התחלפו המפרשים באיזה מין ממיני הדרושים אלו הארבעה יכנס. 20אבל כאשר רצינו באמרנו, אם כך נמצא כמו מה שנרצה באמרנו אם הוא צודק, והוא שיהיה מה שבנפש ממנו, מסכים למה שהוא חוץ לנפש, היה בלי ספק נכנס בשער המקרה. 21וזהו היותר מפורסם מהבנת מה שיורה עליו אמרנו, אם הדבר נמצא אם לא. 22וזהו אשר יסבור אותו אלסכנדר. 23ודעת קצתם, שזה הדרוש נכנס בשער הסוג והגדר. 24וזה שכבר ירצה בנמצא, מה שיש לו עצמות וסבות בהם עמידתו חוץ לנפש, אלא שהראשון יותר מפורסם."
Munich_106a,102b27-34,"1וראוי שתדע שאלו הדרושים הארבעה יעשו על שני צדדים מן הדרישה. 2אחד מהם, שיפורש בו שם המין הדרוש, כאמרנו, אם כך, גדר לכך, או איננו גדר. 3והשני שלא יבואר בו. 4וזה כאשר היה מובן הסימנים , הוא מובן הביאור. 5ונאמר אם כך כך ויהיה הרצון בו אם כך גדר לכך או סוג סגלה או מקרה וזה כאשר היה מובן מחבור ואולם כאשר לא היה שם חבור בין זה המכוון, היה מנוי בדרוש המציאות המשולח לבד."
Munich_106a,102b35-103-5,"1הנה אלו הם מספר מיני השאלות הנצוחיות. 2ומה שימנה , נכנס במין מין ממיניהם ואולם מה שימנה נכנס בכללם ר""ל בארבעה מינים הנזכרים, הנה הם דרושי האחד והזולת. 3כי האחד והזולת שמות משותפים, יאמרו על צדדים רבים. 4אלא שהוא לא ימנע שיהיה איזה ענין יורו עליו בו שב אל אותם המינים. 5וזה יתבאר בחלוקתנו, מה שיורה עליו שם האחד . 6וזה כפי מה שראוי בזאת המלאכה. 7ואולם המאמר בזה על השלמות, הנה במה שאחר הטבע."
Munich_106a,103a8-38,"1ונאמר ששם האחד יאמר תחילה על שלשה ענינים וכל אחד מאלו השלשה, יחלק אל חלקים רבים. 2אחד מהם, האחד במספר. 3וזה יחלק לששה חלקים. 4 אם אחד בשם , כאמרנו הכבש והכבש אחד בעינו 5ואם אחד בסגולה כמו אמרנו החי המדבר והחי אשר ימכור ויקנה אחד בעינו. 6ואם אחד בסגולה כמו אמרנו מקבל חכמה והצוחק אחד בעינו ואם אחד בשם וגדר , כאמרנו האדם והחי המדבר, אחד בעינו. 7ואם בשם ובסגלה ואם אחד בגדר ובסגלה. 8והחלק השני מהחלוקה הראשונה, האחד בנשוא. 9וזה יחלק אל שלשה חלקים. 10אם אחד בסוג, כמו שהאדם והסוס, אחד בחיות. ואם אחד במין, כמו ראובן ושמעון, אחד באנושות. וכן היוונים והרומיים, אחד באנושות. ואם אחד במקרה, כמו הסיד והשלג, אחד בלובן. 11ואולם החלק השלישי מן החלוקה הראשונה, הוא האחד ביחס. 12כאמרנו האלכליפא אלכליפא בישמעאלים , וקיסר ברומיים, אחד ירצה ייחס מה שיורה אלכליפה אצל הישמעאלים הוא בעצמו יחס מה שיורה עליו ברומים קיסר וכמו אמרנו שהמנוחה באויר וההשקט בים, אחד. 13הנה אלו הם צדי מה שיאמר עליו האחד. 14ומבואר שהזולת יאמר על מספרם. 15וזה שכל ענין מעניני האחד, יקביל אותו זולת מה. 16 ולא יעלם ממך איך תשובתם אל אותם המינים הארבעה. 17אם האחד במספר, הנה הוא נכנס בשער הגדר, ומה שימנה עמו ואם האחד בסוג והמקרה והיחס , הנה מבואר הכנסם באותם השערים."
Munich_106a, המשך 103a8-38,"1הנה אלו הם כל מיני הדרושים וההקדמות, וכל מיני חלקיהם שיורכבו מהם. וראוי אחר זה שניישיר אל הדרך אשר בה האמת. 2כשהדרושים וההקדמות, מספרם זה לבד, לא יותר מזה, ולא פחות."
Munich_106a,103b1- 19,"1ונאמר, שזה יראה בשני דרכים. אחד מהם החפוש , והשני ההקש והחלוקה. 2ואולם המגיע מן החפוש , הנה הוא יפול בחקירה מאחד אחד, בהקדמות והשאלות. 3ואולם אשר יהיה בהקש והחלוקה, הנה הוא יראה על זה הצד. 4כל נשוא על דבר, הנה, אם שישוב עליו בנשיאות, ואם שלא ישוב, וזה נראה בנפשו. 5ואם ישוב עליו, הנה הוא, אם גדר, ואם סגלה , וזה יתבאר במה שקדם מרושם הגדר והסגלה . 6וזה שהוא אם יורה על מהות הדבר, והוא מיחד , הנה הוא מאמר מורה על ענין הדבר אשר הוא בו נמצא. 7וזה הוא גדר הגדר לפי מה שהונח. 8ואם לא יורה על מהות הדבר, והוא עם זה מיחד, הנה נראה בעצמו שהוא סגלה . 9וזה שאשר הביא אליו החלוקה, הוא אשר הונח ברושם הסגלה . 10ואולם אם היה הנשוא עליו, לא יתהפך בנושא , הנה לא ימנע, אם שיהיה ממה שילקח בגדר הנושא, או שלא יהיה הנה אם יהיה ממה שילקח בגדר הנושא הוא מבואר שהוא סוג, ממה שקדם מרושם הסוג. 11וזה שמה שילקח בגדר הנושא, והוא יותר כולל, יראה שהוא נשוא על רבים מתחלפים במין מדרך מה הוא. 12ואולם אם היה ממה שלא ילקח בגדר הנושא, והוא יותר כולל מן הנושא , הנה הוא מבואר שהוא מקרה. 13מפני שמה שתארו זה התאר , מבואר מענינו שהוא יורשם ברושם אשר נרשם בו המקרה. 14והוא שהוא איננו סוג, ולא גדר, ולא סגלה , ושהוא אפשר שימצא בנושא , ושלא ימצא."
Munich_106a,103b20-104a2,"1ואולם הדברים אשר ימצאו בהם אלו הנשואים בכללם, הנה הם המאמרות העשרה. 2וזה, שהוא ימצא לכל מאמר מהם, גדרים וסוגים וסגולות ומקרים. 3הנה כבר דברנו בדברים אשר מהם יתחברו השאלות וההקדמות, ר""ל, הנשואים, והנושאים להם. 4וראוי שנאמר בהקדמות עצמם ומיניהם, מצד מה שהם הקדמות נצוחיות. 5ובשאלות גם כן , ומיניהם, מצד מה שהם שאלות נצוחיות . 6ומה ההבדל אשר בין ההקדמה הנצוחית והשאלה הנצוחית ."
Munich_106a,104a3-38,"1ונאמר : שהוא אין ראוי שנניח בזאת המלאכה איזה דבר שהזדמן הקדמה נצוחית ולא איזה דבר ולא איזה דבר שהזדמן, שאלה ניצוחית . 2כי הוא אין לשום משכיל שיניח מה שלא יסבור אותו אדם, על שהוא הקדמה בזאת המלאכה, ולא שישאל גם כן ממה שהוא מבואר לכל האנשים או לרובם. 3כי זה אין בו ספק, ולא ימנה דרוש, בעת מן העתים. 4וכאשר היה זה כן, הנה ההקדמה הנצוחית הוא מאמר מפורסם, יקובל בשאלה שיושם חלק הקש , וזה מינים. 5הראשון מהם, המפורסמות אצל הכל, כמו שהאל יתברך ויתעלה , נמצא. 6או המפורסמות אצל רובם, מזולת הנשארים או המפורסמות אצל החכמים והפילוסופים מזולת שימרו בם ההמון , כמו מה שיסברו אותו החכמים בהשארות הנפש. 7או המפורסמות אצל רוב החכמים, מזולת שימרו בם הנשארים. 8או המפורסם אצל הגדולים מאנשי החכמה, מזולת שיהיה דעת בדוי, ר""ל מתחלף למה שיסברו אותו ההמון. 9וההקדמות הנסיוניות , ר""ל אשר יתאמתו בנסיון, במלאכות העיוניות , והמעשיות מפורסמות גם כן. 10כמו מה שבמלאכת הרפואה, שהאשקומניה תשלשל האדומה, והקולוקונטידא, הלבנה. 11וכמו מה שבמלאכת הכוכבים , שלירח חמש תנועות , ולשמש שתי תנועות. 12וגם כן הדומה במפורסם, מפורסם. 13וזה שני מינים. 14הדומה בהתיחס , כמו שהוא, כאשר היה ההרגש במתהפכים, אחד, הנה הידיעה במתהפכים תהיה אחת. 15כי יחס החוש אל המוחש, דומה ביחס הידיעה אל הידוע. והמין השני, 16במקרה מן המקרים . 17כמו שהוא, אם נמצא החדוש לחלקי החי, והצומח, והדומם ,הנה ימצא לגרמים השמימיים, לפי שיכללם ענין הגשמות. 18וגם כן הנה סותר הפך המפורסם, מפורסם. 19כי הוא כאשר היה מפורסם אמרנו ראוי שנטיב אל האוהבים, והיה הפכו , ראוי שנטיב אל השונאים, היה סותר זה ההפך, מפורסם, והוא אמרנו , אין ראוי שנטיב אל שונאים. 20וגם כן הפך המפורסם, כבר יהיה מפורסם, כאשר היה הפכי לו בנשוא ונושא. 21המשל בזה, שהוא כאשר היה משובח להטיב אל האוהבים, הנה להרע אל השונאים משובח. 22ואריסטו יצוה בזה המקום, שלא יעשה אלא מחובר בהפך, לפי שזה יהיה יותר חזק פרסום. 23המשל בזה, שהוא כאשר רצינו שנניח להרע אל האויבים מחויב , הנה ראוי שנחזק זה בשנאמר, לפי שלהטיב אל האוהבים, ראוי. 24ואמנם צוה בכאן בזאת הצואה, לחולשתו בפרסום מהראשון, ר""ל מסותר ההפך. 25ויותר מעולה שבאלו המינים, הם המפורסמים אצל הכל, אחר, המפורסמים אצל הרוב. 26ומה שזולת זה, הנה אמנם נמנה במפורסמות, לפי שהכל או הרוב יראו בהם שהם ראוי שיקובלו וזה שהכל או הרוב יראו שמאמרי החכמים, ראוי שיקובלו. 27וכזה יראו שהמתדמים, משפטם אחד. 28וכזה גם כן מן המפורסם, שההפכים לא יתקבצו בנושא אחד. 29ואם היה ראוי שנטיב אל האוהבים, הנה אין ראוי שנרע אל האוהבים. 30וכזה ההפך בהפך. 31כי מן המפורסם, שהדבר שנשפוט לו על ענין מה הנה משפט הפכו, הפך משפטו. 32הנה אלו מיני הקדמות הנצוחיות."
